id,year,rvote,age,female,black,white,otherrace,educ,family_income,south,college
113,2000,0,52,1,0,1,0,4,2,1,1
114,2000,0,31,0,0,1,0,4,4,0,1
115,2000,0,37,1,0,1,0,3,4,0,0
116,2000,1,32,1,0,1,0,4,2,0,1
117,2000,0,36,0,0,1,0,3,3,1,0
118,2000,1,57,0,0,1,0,2,3,1,0
119,2000,1,32,1,0,1,0,4,1,1,1
120,2000,0,43,0,1,0,0,2,2,1,0
121,2000,0,46,0,0,1,0,4,3,0,1
122,2000,1,34,0,0,1,0,3,3,0,0
123,2000,0,30,1,0,1,0,2,3,0,0
124,2000,1,26,0,0,1,0,3,2,0,0
125,2000,1,62,0,0,1,0,4,2,0,1
126,2000,0,28,0,0,1,0,2,3,0,0
127,2000,0,65,1,0,1,0,4,3,0,1
128,2000,1,35,0,1,0,0,4,3,0,1
129,2000,0,51,1,0,0,1,3,2,0,0
130,2000,0,31,0,0,0,1,2,3,0,0
131,2000,0,54,0,0,1,0,3,4,0,0
132,2000,0,28,0,0,1,0,4,3,1,1
133,2000,1,50,0,0,1,0,3,3,0,0
134,2000,0,50,1,0,1,0,4,3,0,1
135,2000,0,42,1,0,0,1,2,1,1,0
136,2000,1,41,1,,0,0,3,4,0,0
137,2000,1,29,1,0,1,0,4,4,0,1
138,2000,0,60,1,0,1,0,2,2,0,0
139,2000,1,59,1,0,1,0,3,2,0,0
140,2000,0,55,0,0,1,0,2,1,0,0
141,2000,0,30,1,0,1,0,4,1,0,1
142,2000,0,24,1,0,1,0,2,3,0,0
143,2000,0,46,0,0,1,0,3,4,0,0
144,2000,1,56,0,0,1,0,4,5,0,1
145,2000,1,64,0,0,0,1,4,2,1,1
146,2000,1,40,1,0,0,1,3,1,0,0
147,2000,1,30,0,0,1,0,3,2,0,0
148,2000,1,41,1,0,1,0,4,3,1,1
149,2000,0,53,1,1,0,0,2,2,1,0
150,2000,0,24,1,0,1,0,3,3,1,0
151,2000,0,43,0,0,1,0,4,4,1,1
152,2000,0,22,0,0,1,0,3,1,1,0
153,2000,0,57,1,1,0,0,4,3,1,1
154,2000,0,36,1,0,1,0,2,2,1,0
155,2000,1,44,1,0,1,0,2,3,1,0
156,2000,1,36,0,0,1,0,2,2,0,0
157,2000,0,49,1,0,0,1,3,2,0,0
158,2000,1,51,1,0,1,0,3,3,1,0
159,2000,1,57,0,0,1,0,3,2,1,0
160,2000,0,24,0,1,0,0,2,2,1,0
161,2000,0,64,0,0,1,0,3,1,0,0
162,2000,0,38,1,0,1,0,3,4,0,0
163,2000,0,35,0,0,1,0,4,4,0,1
164,2000,1,58,0,0,1,0,3,1,0,0
165,2000,0,55,0,0,1,0,4,4,0,1
166,2000,0,59,1,0,1,0,2,3,0,0
167,2000,1,43,0,0,1,0,3,2,1,0
168,2000,0,24,1,0,1,0,3,4,0,0
169,2000,1,43,1,0,1,0,3,3,1,0
170,2000,0,51,0,0,1,0,3,2,1,0
